wav_filename,wav_filesize,transcript
clips/001-001-94130.wav,210332,اِ۬لْحَمْدُ لِلهِ رَبِّ اِ۬لْعَٰلَمِينَ
clips/001_001_296226.wav,287810,اِ۬لْحَمْدُ لِلهِ رَبِّ اِ۬لْعَٰلَمِينَ
clips/001_001_304352.wav,536876,اِ۬لْحَمْدُ لِلهِ رَبِّ اِ۬لْعَٰلَمِينَ
clips/001_002_131027.wav,792620,اَ۬لرَّحْمَٰنِ اِ۬لرَّحِيمِ
clips/001_002_797319.wav,235860,اَ۬لرَّحْمَٰنِ اِ۬لرَّحِيمِ
clips/001_003_159557.wav,783404,مَلِكِ يَوْمِ اِ۬لدِّينِ
clips/001_003_277025.wav,334124,مَلِكِ يَوْمِ اِ۬لدِّينِ
clips/001_003_368881.wav,227662,مَلِكِ يَوْمِ اِ۬لدِّينِ
clips/001-003-30255.wav,146794,مَلِكِ يَوْمِ اِ۬لدِّينِ
clips/001_004_103123.wav,340820,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ
clips/001_004_646104.wav,306476,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ
clips/001_004_936239.wav,1170476,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ
clips/001-004-29163.wav,223478,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ
clips/001_005_241182.wav,334124,اُ۪هْدِنَا اَ۬لصِّرَٰطَ اَ۬لْمُسْتَقِيمَ
clips/001_005_370788.wav,926252,اُ۪هْدِنَا اَ۬لصِّرَٰطَ اَ۬لْمُسْتَقِيمَ
clips/001_005_712447.wav,288660,اُ۪هْدِنَا اَ۬لصِّرَٰطَ اَ۬لْمُسْتَقِيمَ
clips/001-005-66014.wav,207046,اُ۪هْدِنَا اَ۬لصِّرَٰطَ اَ۬لْمُسْتَقِيمَ
clips/001_006_340437.wav,352844,صِرَٰطَ اَ۬لذِينَ أَنْعَمْتَ عَلَيْهِمْ
clips/001_006_353789.wav,220544,صِرَٰطَ اَ۬لذِينَ أَنْعَمْتَ عَلَيْهِمْ
clips/001-006-54440.wav,164322,صِرَٰطَ اَ۬لذِينَ أَنْعَمْتَ عَلَيْهِمْ
clips/001_007_278749.wav,1769516,غَيْرِ اِ۬لْمَغْضُوبِ عَلَيْهِمْ وَلَا اَ۬لضَّآلِّينَ
clips/001_007_696404.wav,730124,غَيْرِ اِ۬لْمَغْضُوبِ عَلَيْهِمْ وَلَا اَ۬لضَّآلِّينَ
clips/001_007_719917.wav,560010,غَيْرِ اِ۬لْمَغْضُوبِ عَلَيْهِمْ وَلَا اَ۬لضَّآلِّينَ
clips/087_001-39103.wav,188330,سَبِّحِ اِ۪سْمَ رَبِّكَ اَ۬لَاعْلَي
clips/087_001_258935.wav,189132,سَبِّحِ اِ۪سْمَ رَبِّكَ اَ۬لَاعْلَي
clips/087_001_611731.wav,603692,سَبِّحِ اِ۪سْمَ رَبِّكَ اَ۬لَاعْلَي
clips/087_001_795805.wav,256688,سَبِّحِ اِ۪سْمَ رَبِّكَ اَ۬لَاعْلَي
clips/087_002-16934.wav,170038,اَ۬لذِے خَلَقَ فَسَوّ۪ىٰ
clips/087_002_355792.wav,608300,اَ۬لذِے خَلَقَ فَسَوّ۪ىٰ
clips/087_002_726232.wav,176798,اَ۬لذِے خَلَقَ فَسَوّ۪ىٰ
clips/087_003-57799.wav,175442,وَالذِے قَدَّرَ فَهَد۪ىٰ
clips/087_003_232361.wav,297260,وَالذِے قَدَّرَ فَهَد۪ىٰ
clips/087_003_567441.wav,714284,وَالذِے قَدَّرَ فَهَد۪ىٰ
clips/087_003_936332.wav,177668,وَالذِے قَدَّرَ فَهَد۪ىٰ
clips/087_004-19580.wav,234660,وَالذِےٓ أَخْرَجَ اَ۬لْمَرْع۪ىٰ
clips/087_004_245471.wav,532268,وَالذِےٓ أَخْرَجَ اَ۬لْمَرْع۪ىٰ
clips/087_004_518402.wav,253550,وَالذِےٓ أَخْرَجَ اَ۬لْمَرْع۪ىٰ
clips/087_004_880034.wav,1092140,وَالذِےٓ أَخْرَجَ اَ۬لْمَرْع۪ىٰ
clips/087_005-37374.wav,246514,فَجَعَلَهُۥ غُثَآءً اَحْو۪ىٰ
clips/087_006-59672.wav,197844,سَنُقْرِئُكَ فَلَا تَنس۪ىٰٓ
clips/087_006_450514.wav,539180,سَنُقْرِئُكَ فَلَا تَنس۪ىٰٓ
clips/087_006_453680.wav,213126,سَنُقْرِئُكَ فَلَا تَنس۪ىٰٓ
clips/087_007-28364.wav,568484,إِلَّا مَا شَآءَ اَ۬للَّهُ إِنَّهُۥ يَعْلَمُ اُ۬لْجَهْرَ وَمَا يَخْف۪ىٰ
clips/087_007_129791.wav,2253356,إِلَّا مَا شَآءَ اَ۬للَّهُ إِنَّهُۥ يَعْلَمُ اُ۬لْجَهْرَ وَمَا يَخْف۪ىٰ
clips/087_007_209681.wav,1004588,إِلَّا مَا شَآءَ اَ۬للَّهُ إِنَّهُۥ يَعْلَمُ اُ۬لْجَهْرَ وَمَا يَخْف۪ىٰ
clips/087_007_883291.wav,580460,إِلَّا مَا شَآءَ اَ۬للَّهُ إِنَّهُۥ يَعْلَمُ اُ۬لْجَهْرَ وَمَا يَخْف۪ىٰ
clips/087_008-47683.wav,188626,وَنُيَسِّرُكَ لِلْيُسْر۪ىٰ
clips/087_008_594213.wav,682028,وَنُيَسِّرُكَ لِلْيُسْر۪ىٰ
clips/087_008_850335.wav,228140,وَنُيَسِّرُكَ لِلْيُسْر۪ىٰ
clips/087_008_968364.wav,181752,وَنُيَسِّرُكَ لِلْيُسْر۪ىٰ
clips/087_009_481187.wav,1069100,فَذَكِّرِ اِن نَّفَعَتِ اِ۬لذِّكْر۪ىٰ
clips/087_009_588080.wav,253258,فَذَكِّرِ اِن نَّفَعَتِ اِ۬لذِّكْر۪ىٰ
clips/087_009_680358.wav,327212,فَذَكِّرِ اِن نَّفَعَتِ اِ۬لذِّكْر۪ىٰ
clips/087_010-38441.wav,207450,سَيَذَّكَّرُ مَنْ يَّخْش۪ىٰ
clips/087_010_115642.wav,274220,سَيَذَّكَّرُ مَنْ يَّخْش۪ىٰ
clips/087_010_443046.wav,847916,سَيَذَّكَّرُ مَنْ يَّخْش۪ىٰ
clips/087_010_748757.wav,208356,سَيَذَّكَّرُ مَنْ يَّخْش۪ىٰ
clips/087_011-23918.wav,176088,وَيَتَجَنَّبُهَا اَ۬لَاشْقَي
clips/087_011_219958.wav,218924,وَيَتَجَنَّبُهَا اَ۬لَاشْقَي
clips/087_011_504401.wav,792620,وَيَتَجَنَّبُهَا اَ۬لَاشْقَي
clips/087_011_654824.wav,199306,وَيَتَجَنَّبُهَا اَ۬لَاشْقَي
clips/087_012-26162.wav,244924,اَ۬لذِے يَصْلَى اَ۬لنَّارَ اَ۬لْكُبْر۪ىٰ
clips/087_012_435983.wav,366380,اَ۬لذِے يَصْلَى اَ۬لنَّارَ اَ۬لْكُبْر۪ىٰ
clips/087_012_554054.wav,949292,اَ۬لذِے يَصْلَى اَ۬لنَّارَ اَ۬لْكُبْر۪ىٰ
clips/087_012_965730.wav,267550,اَ۬لذِے يَصْلَى اَ۬لنَّارَ اَ۬لْكُبْر۪ىٰ
clips/087_013-89161.wav,298338,ثُمَّ لَا يَمُوتُ فِيهَا وَلَا يَحْي۪ىٰ
clips/087_013_618657.wav,1175084,ثُمَّ لَا يَمُوتُ فِيهَا وَلَا يَحْي۪ىٰ
clips/087_014_229514.wav,898604,قَدَ اَفْلَحَ مَن تَزَكّ۪ىٰ
clips/087_014_480633.wav,209760,قَدَ اَفْلَحَ مَن تَزَكّ۪ىٰ
